Order Date,Product Name,Category,City,Unit Price,Quantity Sold,Total Sales,Net Profit
2025-04-09,Tablet Pro,Mobile,Bangalore,504.75,2,1009.5,415.61
2025-04-09,Mechanical Keyboard,Accessories,Mumbai,103.1,1,103.1,32.18
2025-04-09,Smartphone 5G,Mobile,Delhi,721.88,1,721.88,264.5
2025-04-09,Mechanical Keyboard,Accessories,Pune,115.88,4,463.52,180.83
2025-04-09,Bluetooth Speaker,Audio,Delhi,79.24,3,237.72,105.66
2025-04-09,Smartphone 5G,Mobile,Mumbai,762.71,1,762.71,241.47
2025-04-09,Tablet Pro,Mobile,Bangalore,595.93,1,595.93,169.68
2025-04-09,4K Monitor,Display,Bangalore,326.42,2,652.84,194.58
2025-04-09,Smartwatch,Wearables,Bangalore,206.57,3,619.71,236.2
2025-04-09,Mechanical Keyboard,Accessories,Hyderabad,105.76,4,423.04,126.94
2025-04-09,Laptop Stand,Accessories,Chennai,44.5,5,222.5,103.83
2025-04-09,Laptop Stand,Accessories,Pune,45.46,1,45.46,20.14
2025-04-09,4K Monitor,Display,Mumbai,334.18,2,668.36,226.02
2025-04-10,USB-C Hub,Accessories,Hyderabad,33.86,7,237.02,115.87
2025-04-10,Bluetooth Speaker,Audio,Chennai,90.78,1,90.78,31.41
2025-04-10,Bluetooth Speaker,Audio,Chennai,90.89,5,454.45,218.32
2025-04-10,Bluetooth Speaker,Audio,Hyderabad,77.31,1,77.31,16.95
2025-04-10,4K Monitor,Display,Mumbai,330.5,2,661.0,188.05
2025-04-10,4K Monitor,Display,Pune,297.14,3,891.42,383.4
2025-04-10,Smartwatch,Wearables,Pune,204.79,1,204.79,61.78
2025-04-10,Mechanical Keyboard,Accessories,Pune,111.75,1,111.75,48.66
2025-04-11,Smartwatch,Wearables,Hyderabad,195.85,1,195.85,60.82
2025-04-11,Bluetooth Speaker,Audio,Pune,84.76,1,84.76,33.06
2025-04-11,Smartphone 5G,Mobile,Bangalore,790.91,3,2372.73,860.25
2025-04-11,Smartwatch,Wearables,Bangalore,195.09,3,585.27,189.68
2025-04-11,Smartwatch,Wearables,Pune,190.31,2,380.62,118.52
2025-04-11,4K Monitor,Display,Delhi,314.17,1,314.17,132.23
2025-04-11,Gaming Mouse,Accessories,Mumbai,60.32,6,361.92,171.49
2025-04-11,Wireless Headphones,Audio,Pune,114.92,1,114.92,36.58
2025-04-11,Laptop Stand,Accessories,Hyderabad,44.2,6,265.2,98.52
2025-04-11,Tablet Pro,Mobile,Bangalore,531.76,2,1063.52,409.17
2025-04-11,Wireless Headphones,Audio,Bangalore,130.1,1,130.1,32.57
2025-04-11,Mechanical Keyboard,Accessories,Chennai,117.26,2,234.52,92.74
2025-04-11,Smartphone 5G,Mobile,Delhi,868.48,3,2605.44,630.7
2025-04-11,Tablet Pro,Mobile,Hyderabad,518.0,3,1554.0,565.78
2025-04-11,Smartwatch,Wearables,Chennai,197.13,1,197.13,44.07
2025-04-12,Gaming Mouse,Accessories,Delhi,70.82,7,495.74,150.46
2025-04-12,Tablet Pro,Mobile,Mumbai,506.56,2,1013.12,296.99
2025-04-12,Laptop Stand,Accessories,Pune,49.34,3,148.02,69.02
2025-04-12,USB-C Hub,Accessories,Pune,34.75,11,382.25,182.08
2025-04-12,4K Monitor,Display,Delhi,299.92,3,899.76,241.82
2025-04-12,Mechanical Keyboard,Accessories,Pune,104.98,2,209.96,85.11
2025-04-12,4K Monitor,Display,Pune,319.63,3,958.89,198.89
2025-04-12,4K Monitor,Display,Hyderabad,318.39,1,318.39,146.81
2025-04-12,4K Monitor,Display,Delhi,342.56,2,685.12,250.64
2025-04-12,Tablet Pro,Mobile,Mumbai,505.66,1,505.66,230.89
2025-04-12,Wireless Headphones,Audio,Mumbai,113.38,1,113.38,33.34
2025-04-12,Wireless Headphones,Audio,Chennai,127.82,4,511.28,184.92
2025-04-12,Laptop Stand,Accessories,Chennai,49.26,2,98.52,45.58
2025-04-12,Wireless Headphones,Audio,Pune,126.53,3,379.59,114.96
2025-04-12,Tablet Pro,Mobile,Pune,497.07,2,994.14,494.12
2025-04-12,Wireless Headphones,Audio,Bangalore,128.07,4,512.28,200.66
2025-04-12,Wireless Headphones,Audio,Delhi,125.14,3,375.42,174.97
2025-04-12,4K Monitor,Display,Mumbai,293.98,2,587.96,217.98
2025-04-12,Mechanical Keyboard,Accessories,Mumbai,102.42,1,102.42,31.65
2025-04-13,Mechanical Keyboard,Accessories,Pune,106.4,2,212.8,49.28
2025-04-13,Smartwatch,Wearables,Pune,183.4,2,366.8,111.48
2025-04-13,Gaming Mouse,Accessories,Pune,71.31,1,71.31,34.0
2025-04-13,Gaming Mouse,Accessories,Bangalore,58.54,5,292.7,93.04
2025-04-13,Mechanical Keyboard,Accessories,Bangalore,113.06,4,452.24,224.18
2025-04-13,USB-C Hub,Accessories,Bangalore,36.73,10,367.3,138.59
