Order Date,Product Name,Category,City,Unit Price,Quantity Sold,Total Sales,Net Profit
2025-04-09,Leather Belt,Accessories,Chennai,25.72,13,334.36,143.25
2025-04-09,Leather Belt,Accessories,Pune,23.31,9,209.79,50.39
2025-04-09,Leather Belt,Accessories,Pune,23.38,11,257.18,51.68
2025-04-09,Formal Shirt,Topwear,Hyderabad,43.35,6,260.1,58.07
2025-04-09,Summer Dress,Dress,Delhi,37.23,7,260.61,69.72
2025-04-09,Denim Jacket,Outerwear,Pune,59.74,4,238.96,70.0
2025-04-09,Running Shoes,Footwear,Hyderabad,104.44,4,417.76,187.42
2025-04-09,Sunglasses,Accessories,Chennai,28.33,4,113.32,27.64
2025-04-09,Summer Dress,Dress,Mumbai,37.24,12,446.88,206.85
2025-04-09,Sunglasses,Accessories,Chennai,29.48,9,265.32,77.13
2025-04-09,Formal Shirt,Topwear,Hyderabad,47.77,8,382.16,167.31
2025-04-09,Denim Jacket,Outerwear,Hyderabad,54.91,8,439.28,217.66
2025-04-09,Running Shoes,Footwear,Bangalore,100.5,3,301.5,128.13
2025-04-09,Sunglasses,Accessories,Bangalore,30.62,2,61.24,17.61
2025-04-10,Denim Jacket,Outerwear,Bangalore,56.61,4,226.44,90.73
2025-04-10,Sunglasses,Accessories,Pune,32.04,11,352.44,91.68
2025-04-10,Denim Jacket,Outerwear,Bangalore,63.28,3,189.84,56.44
2025-04-10,Running Shoes,Footwear,Hyderabad,96.03,3,288.09,87.61
2025-04-10,Cotton T-Shirt,Topwear,Hyderabad,15.3,2,30.6,12.55
2025-04-10,Cotton T-Shirt,Topwear,Bangalore,16.4,7,114.8,23.6
2025-04-10,Sneakers,Footwear,Bangalore,86.81,4,347.24,129.39
2025-04-10,Denim Jacket,Outerwear,Delhi,55.37,6,332.22,152.32
2025-04-10,Running Shoes,Footwear,Mumbai,103.6,2,207.2,81.98
2025-04-10,Summer Dress,Dress,Pune,41.74,10,417.4,92.32
2025-04-10,Wrist Watch,Accessories,Hyderabad,131.44,4,525.76,146.74
2025-04-10,Formal Shirt,Topwear,Hyderabad,41.47,10,414.7,154.07
2025-04-10,Chinos,Bottomwear,Delhi,56.09,4,224.36,45.2
2025-04-10,Cotton T-Shirt,Topwear,Mumbai,15.92,14,222.88,81.26
2025-04-10,Sneakers,Footwear,Hyderabad,83.29,1,83.29,30.26
2025-04-10,Sunglasses,Accessories,Bangalore,32.42,4,129.68,61.06
2025-04-10,Denim Jacket,Outerwear,Pune,65.15,5,325.75,149.07
2025-04-10,Cotton T-Shirt,Topwear,Chennai,13.74,8,109.92,40.67
2025-04-10,Running Shoes,Footwear,Pune,92.65,4,370.6,86.81
2025-04-11,Running Shoes,Footwear,Delhi,96.52,2,193.04,58.07
2025-04-11,Leather Belt,Accessories,Hyderabad,23.39,15,350.85,97.36
2025-04-11,Cotton T-Shirt,Topwear,Bangalore,13.51,10,135.1,66.86
2025-04-11,Sneakers,Footwear,Delhi,77.46,2,154.92,46.97
2025-04-11,Cotton T-Shirt,Topwear,Delhi,13.67,29,396.43,163.7
2025-04-11,Sunglasses,Accessories,Hyderabad,32.55,8,260.4,85.38
2025-04-11,Sneakers,Footwear,Chennai,92.46,4,369.84,88.24
2025-04-11,Formal Shirt,Topwear,Bangalore,44.46,1,44.46,12.08
2025-04-11,Summer Dress,Dress,Bangalore,36.97,10,369.7,87.61
2025-04-11,Cotton T-Shirt,Topwear,Delhi,14.32,12,171.84,60.53
