Order Date,Product Name,Category,City,Unit Price,Quantity Sold,Total Sales,Net Profit
2025-04-09,Frying Pan,Kitchen,Mumbai,44.12,4,176.48,49.8
2025-04-09,Bookshelf,Furniture,Bangalore,93.04,3,279.12,73.81
2025-04-09,Frying Pan,Kitchen,Mumbai,46.62,8,372.96,158.19
2025-04-09,Ceramic Mug,Kitchen,Bangalore,12.9,33,425.7,162.71
2025-04-09,Table Lamp,Lighting,Mumbai,37.75,1,37.75,15.87
2025-04-09,Bookshelf,Furniture,Pune,84.25,3,252.75,79.73
2025-04-09,Coffee Table,Furniture,Pune,111.43,2,222.86,84.15
2025-04-09,Table Lamp,Lighting,Mumbai,33.56,12,402.72,105.78
2025-04-09,Coffee Table,Furniture,Bangalore,127.75,3,383.25,80.85
2025-04-09,Ceramic Mug,Kitchen,Bangalore,12.91,23,296.93,89.54
2025-04-09,Bath Towel Set,Bath,Hyderabad,27.9,14,390.6,171.21
2025-04-09,Office Chair,Furniture,Mumbai,136.95,1,136.95,57.07
2025-04-09,Cushion Cover,Decor,Mumbai,17.77,13,231.01,48.76
2025-04-09,Bookshelf,Furniture,Delhi,92.48,4,369.92,149.14
2025-04-09,Bookshelf,Furniture,Chennai,83.85,3,251.55,92.14
2025-04-09,Wall Clock,Decor,Chennai,24.84,13,322.92,112.53
2025-04-09,Office Chair,Furniture,Chennai,148.91,1,148.91,62.13
2025-04-09,Table Lamp,Lighting,Delhi,37.13,4,148.52,63.65
2025-04-09,Ceramic Mug,Kitchen,Pune,13.15,4,52.6,11.33
2025-04-09,Bed Sheets (King),Bedding,Hyderabad,63.37,6,380.22,107.26
2025-04-09,Coffee Table,Furniture,Pune,125.36,1,125.36,51.22
2025-04-09,Bath Towel Set,Bath,Delhi,29.19,4,116.76,51.99
2025-04-10,Cushion Cover,Decor,Delhi,19.64,5,98.2,47.2
2025-04-10,Ceramic Mug,Kitchen,Delhi,12.09,41,495.69,239.23
2025-04-10,Bath Towel Set,Bath,Mumbai,27.08,11,297.88,136.79
2025-04-10,Frying Pan,Kitchen,Chennai,41.09,7,287.63,113.24
2025-04-10,Ceramic Mug,Kitchen,Delhi,12.87,24,308.88,114.1
2025-04-10,Frying Pan,Kitchen,Mumbai,42.44,9,381.96,115.95
2025-04-10,Ceramic Mug,Kitchen,Hyderabad,12.21,13,158.73,45.49
2025-04-10,Ceramic Mug,Kitchen,Delhi,13.01,36,468.36,124.89
2025-04-11,Bath Towel Set,Bath,Hyderabad,27.12,14,379.68,95.88
2025-04-11,Bath Towel Set,Bath,Chennai,29.55,12,354.6,85.84
2025-04-11,Frying Pan,Kitchen,Delhi,42.14,5,210.7,104.75
2025-04-11,Coffee Table,Furniture,Mumbai,124.9,2,249.8,109.25
2025-04-11,Bed Sheets (King),Bedding,Pune,71.13,7,497.91,109.83
2025-04-11,Office Chair,Furniture,Delhi,149.4,3,448.2,95.67
2025-04-11,Bath Towel Set,Bath,Chennai,27.84,11,306.24,73.71
2025-04-11,Ceramic Mug,Kitchen,Bangalore,11.94,13,155.22,74.37
2025-04-11,Bed Sheets (King),Bedding,Hyderabad,64.44,6,386.64,143.08
2025-04-11,Bath Towel Set,Bath,Delhi,30.0,3,90.0,36.66
2025-04-11,Cushion Cover,Decor,Pune,16.8,1,16.8,5.89
2025-04-11,Office Chair,Furniture,Hyderabad,159.64,2,319.28,81.12
2025-04-11,Cushion Cover,Decor,Chennai,18.07,26,469.82,97.83
2025-04-11,Wall Clock,Decor,Delhi,27.5,20,550.0,261.48
