Order Date,Product Name,Category,City,Unit Price,Quantity Sold,Total Sales,Net Profit
2025-04-09,Organic Milk,Dairy,Bangalore,4.63,26,120.38,52.9
2025-04-09,Tomato Ketchup,Pantry,Delhi,3.79,124,469.96,94.84
2025-04-09,Green Tea,Beverages,Mumbai,6.02,8,48.16,21.92
2025-04-09,Coffee Beans,Beverages,Pune,11.82,6,70.92,14.76
2025-04-09,Coffee Beans,Beverages,Chennai,11.38,23,261.74,55.05
2025-04-09,Green Tea,Beverages,Bangalore,5.96,76,452.96,185.09
2025-04-09,Chicken Breast,Meat,Pune,8.84,45,397.8,128.53
2025-04-09,Eggs (Dz),Dairy,Bangalore,4.46,56,249.76,86.25
2025-04-09,Eggs (Dz),Dairy,Chennai,3.99,93,371.07,159.42
2025-04-09,Coffee Beans,Beverages,Hyderabad,11.91,21,250.11,67.19
2025-04-09,Green Tea,Beverages,Delhi,6.14,64,392.96,169.25
2025-04-09,Green Tea,Beverages,Pune,6.92,63,435.96,114.38
2025-04-09,Potato Chips,Snacks,Chennai,2.22,102,226.44,90.92
2025-04-09,Whole Wheat Bread,Bakery,Delhi,2.71,1,2.71,1.33
2025-04-09,Tomato Ketchup,Pantry,Mumbai,3.7,125,462.5,131.95
2025-04-10,Organic Milk,Dairy,Chennai,4.52,10,45.2,11.08
2025-04-10,Organic Milk,Dairy,Delhi,4.76,108,514.08,177.2
2025-04-10,Tomato Ketchup,Pantry,Mumbai,3.23,121,390.83,148.65
2025-04-10,Eggs (Dz),Dairy,Bangalore,4.33,41,177.53,37.84
2025-04-10,Chicken Breast,Meat,Pune,8.57,56,479.92,98.15
2025-04-10,Tomato Ketchup,Pantry,Hyderabad,3.6,114,410.4,146.84
2025-04-10,Whole Wheat Bread,Bakery,Delhi,2.83,64,181.12,40.67
2025-04-10,Eggs (Dz),Dairy,Hyderabad,4.07,50,203.5,45.06
2025-04-10,Green Tea,Beverages,Bangalore,6.41,28,179.48,54.88
2025-04-10,Tomato Ketchup,Pantry,Hyderabad,3.65,63,229.95,109.1
2025-04-10,Green Tea,Beverages,Mumbai,6.33,73,462.09,159.56
2025-04-11,Whole Wheat Bread,Bakery,Delhi,2.8,141,394.8,112.16
2025-04-11,Organic Milk,Dairy,Chennai,4.08,26,106.08,47.79
2025-04-11,Eggs (Dz),Dairy,Hyderabad,4.36,8,34.88,13.99
2025-04-11,Organic Milk,Dairy,Delhi,4.42,105,464.1,202.64
2025-04-11,Pasta,Pantry,Bangalore,2.41,50,120.5,24.68
2025-04-11,Green Tea,Beverages,Pune,6.18,27,166.86,33.57
2025-04-11,Apples (1kg),Produce,Bangalore,4.79,60,287.4,80.37
2025-04-11,Eggs (Dz),Dairy,Mumbai,4.1,107,438.7,140.29
2025-04-11,Potato Chips,Snacks,Hyderabad,2.19,62,135.78,52.61
2025-04-11,Green Tea,Beverages,Mumbai,6.49,19,123.31,46.98
2025-04-11,Whole Wheat Bread,Bakery,Mumbai,2.96,28,82.88,19.83
2025-04-11,Potato Chips,Snacks,Hyderabad,2.26,4,9.04,1.9
2025-04-11,Organic Milk,Dairy,Hyderabad,4.79,109,522.11,216.83
2025-04-12,Apples (1kg),Produce,Mumbai,4.62,6,27.72,10.98
2025-04-12,Whole Wheat Bread,Bakery,Hyderabad,3.15,71,223.65,58.52
2025-04-12,Organic Milk,Dairy,Mumbai,4.56,25,114.0,32.92
2025-04-12,Apples (1kg),Produce,Chennai,4.69,36,168.84,40.37
2025-04-12,Green Tea,Beverages,Delhi,6.24,35,218.4,46.33
2025-04-12,Coffee Beans,Beverages,Delhi,11.37,37,420.69,184.32
2025-04-12,Organic Milk,Dairy,Pune,4.89,6,29.34,14.55
2025-04-12,Apples (1kg),Produce,Hyderabad,4.96,10,49.6,10.44
2025-04-12,Pasta,Pantry,Hyderabad,2.38,122,290.36,78.03
2025-04-12,Apples (1kg),Produce,Pune,4.65,33,153.45,31.89
2025-04-12,Chicken Breast,Meat,Delhi,8.09,5,40.45,12.51
2025-04-13,Potato Chips,Snacks,Chennai,2.2,182,400.4,167.65
2025-04-13,Whole Wheat Bread,Bakery,Delhi,2.72,85,231.2,47.2
2025-04-13,Organic Milk,Dairy,Mumbai,4.72,25,118.0,34.55
2025-04-13,Organic Milk,Dairy,Mumbai,4.35,82,356.7,130.68
2025-04-13,Tomato Ketchup,Pantry,Bangalore,3.3,142,468.6,143.55
2025-04-13,Green Tea,Beverages,Delhi,5.97,26,155.22,44.73
2025-04-13,Coffee Beans,Beverages,Bangalore,12.04,41,493.64,129.01
2025-04-13,Whole Wheat Bread,Bakery,Pune,2.86,50,143.0,63.84
2025-04-13,Coffee Beans,Beverages,Mumbai,11.83,21,248.43,70.9
2025-04-13,Potato Chips,Snacks,Chennai,2.29,71,162.59,39.8
2025-04-13,Eggs (Dz),Dairy,Delhi,4.26,28,119.28,46.17
2025-04-13,Chicken Breast,Meat,Mumbai,8.79,52,457.08,125.73
2025-04-13,Organic Milk,Dairy,Pune,4.72,81,382.32,171.15
2025-04-13,Organic Milk,Dairy,Bangalore,4.84,21,101.64,49.63
2025-04-13,Chicken Breast,Meat,Hyderabad,8.35,36,300.6,84.24
2025-04-14,Tomato Ketchup,Pantry,Hyderabad,3.32,86,285.52,133.26
2025-04-14,Chicken Breast,Meat,Mumbai,8.11,25,202.75,81.26
2025-04-14,Apples (1kg),Produce,Pune,4.5,39,175.5,47.57
2025-04-14,Pasta,Pantry,Hyderabad,2.59,186,481.74,151.39
2025-04-14,Coffee Beans,Beverages,Pune,12.87,14,180.18,36.77
2025-04-14,Chicken Breast,Meat,Delhi,7.93,30,237.9,118.5
2025-04-14,Tomato Ketchup,Pantry,Delhi,3.44,86,295.84,108.58
2025-04-14,Whole Wheat Bread,Bakery,Chennai,3.17,21,66.57,30.08
2025-04-14,Chicken Breast,Meat,Hyderabad,9.17,27,247.59,120.47
2025-04-14,Coffee Beans,Beverages,Delhi,12.66,9,113.94,40.18
2025-04-14,Tomato Ketchup,Pantry,Mumbai,3.75,53,198.75,53.14
2025-04-14,Chicken Breast,Meat,Mumbai,7.74,28,216.72,55.0
2025-04-14,Tomato Ketchup,Pantry,Pune,3.45,8,27.6,7.54
2025-04-14,Chicken Breast,Meat,Delhi,7.86,21,165.06,56.45
2025-04-14,Potato Chips,Snacks,Delhi,2.0,167,334.0,141.12
